166;Bande dessine jeunesse;75;Le rveil du Kra-Kaos [Texte imprim];Sobral, Patrick
170;Livre adulte;75;Hrtiques [Texte imprim];Padura Fuentes, Leonardo
171;DVD tous publics;75;Bates Motel [Images animes];
179;Bande dessine jeunesse;71;Chi, une vie de chat. 2;Konami, K.
185;DVD tous publics;70;Le labyrinthe [Images animes];
186;Livre adulte;69;La magie du rangement [Texte imprim];Kondo, Marie
194;Bande dessine jeunesse;68;Griffes et plumes [Texte imprim];Sobral, Patrick
202;DVD tous publics;67;Blue Jasmine [Images animes];
204;CD adulte;67;Alain Souchon & Laurent Voulzy [Enregistrement sonore];Souchon, Alain
208;Livre adulte;66;Et dans l'ternit, je ne m'ennuierai pas [Texte imprim] : souvenirs;Veyne, Paul
211;Bande dessine jeunesse;64;Le cycle d'Anathos : renaissance;Sobral, Patrick
222;DVD tous publics;62;J'ai tu ma mre [images animes];
223;Livre adulte;62;Iles grecques et Athnes [Texte imprim];
229;Bande dessine jeunesse;61;Sang royal;Sobral, Patrick
232;;61;Les Lgendaires. 15. Amour mortel;Sobral, Patrick
235;Nouveaut;61;Vivre vite [Texte imprim];Besson, Philippe
237;CD adulte;60;Vulnicura [Enregistrement sonore];Bjrk
244;DVD tous publics;60;Jimmy P. [Images animes];
245;DVD tous publics;60;Gravity [Images animes];
250;Nouveaut;60;Un hiver  Paris [Texte imprim];Blondel, Jean-Philippe
258;Livre jeunesse;59;Mortelle Adle. 3. C'est pas ma faute !;Tan
270;Nouveaut;58;Ptronille [Texte imprim] : roman;Nothomb, Amlie
276;Bande dessine ado;57;Je veux que tu m'aimes ! [Texte imprim];Lyfoung, Patricia
286;;56;Canaries [Texte imprim];Gloaguen, Philippe
294;Livre adulte;55;Devenir soi [Texte imprim] : prenez le pouvoir sur votre vie !;Attali, Jacques
295;Bande dessine adulte;54;Chroniques birmanes [Texte imprim];Delisle, Guy
306;;53;After [Texte imprim]. 1;Todd, Anna
312;Livre ado;52;Divergente : diffrente, dtermine, dangereuse. 2;Roth, Veronica
319;Livre en langue trangre;51;Americanah [Texte imprim];Adichie, Chimamanda Ngozi
332;DVD tous publics;50;Samba [Images animes];
352;DVD tous publics;48;National Gallery [Images animes];
353;DVD nouveauts tous publics;47;Le Hobbit [Images animes];
359;Nouveaut;47;Pour les musulmans [Texte imprim];Plenel, Edwy
361;DVD jeunesse;47;A la recherche de Vivian Maier [Images animes];
363;Livre adulte;47;Trompe-la-mort [Texte imprim];Guenassia, Jean-Michel
368;Nouveaut;46;Les souvenirs;Foenkinos, David
380;Bande dessine adulte;46;Little Tulip [Texte imprim];Charyn, Jrme
382;DVD tous publics;46;Le beau monde [Images animes];
383;DVD jeunesse;45;Asterix et le domaine des dieux [Images animes];
389;Nouveaut;45;Le mtorologue [Texte imprim];Rolin, Olivier
